name,type,events,total_artists,notable_artists,is_target
The MUDD Show,promoter,1,6,0,False
Miracle Mgmt,promoter,1,5,0,False
shockwerk,promoter,1,6,0,False
2Lovers5683,promoter,1,5,0,False
RawProd,promoter,7,17,0,False
LUKAS303,promoter,1,2,0,False
Stonechrom,promoter,1,2,0,False
Primate,promoter,2,1,0,False
After Deluxe,promoter,1,1,0,False
Paranoid,promoter,2,3,0,False
House at the Mansion,promoter,2,4,0,False
BRINKO,promoter,1,4,0,False
NEOPERREO,promoter,1,3,0,False
Fake City Quiet Pills,promoter,1,3,0,False
Almanac Barcelona,promoter,6,7,0,False
45Min.collective,promoter,2,5,0,False
The stoke travel,promoter,2,1,0,False
The Unknown ibiza,promoter,1,2,0,False
Tardeo93,promoter,2,1,0,False
Disco(Nnected),promoter,1,5,0,False
A•BUNDAH,promoter,2,2,0,False
dantzmusik,promoter,1,3,0,False
LANUIT.,promoter,1,4,0,False
Trocadero.event,promoter,1,2,0,False
L'Infern,promoter,3,2,0,False
La Santa Bcn,promoter,1,5,0,False
Intimate Barcelona,promoter,1,2,0,False
Intimate bcn,promoter,1,2,0,False
Ibiza in the City Team,promoter,1,1,0,False
Nebo.hq,promoter,1,1,0,False
Espresso Beats,promoter,2,4,0,False
alboroto,promoter,5,8,0,False
Garage68,promoter,1,2,0,False
FREE ENTRANCE BEFORE 00:00,promoter,2,2,0,False
Music For Airports S.L,promoter,5,5,0,False
Cottage,promoter,2,4,0,False
LICANCORP,promoter,1,2,0,False
PLUS-PROMOTER,promoter,5,5,0,False
RITO BARCELONA,promoter,41,6,0,False
Tenderete,promoter,1,1,0,False
4YOU_BCN,promoter,4,11,0,False
TDBCN,promoter,1,2,0,False
LOS ROQUES.,promoter,3,2,0,False
INTO THE WOODS,promoter,1,3,0,False
Fontana,promoter,1,3,0,False
Santé Salud,promoter,1,2,0,False
CYBERFUNK CREW,promoter,3,3,0,False
Outf1tDj,promoter,1,2,0,False
DOPAMINE,promoter,16,11,0,False
The Basement ,promoter,1,2,0,False
Sebastián cardenas,promoter,3,3,0,False
Tribalesque,promoter,9,5,0,False
Generator_Barcelona,promoter,7,4,0,False
Befake,promoter,2,3,0,False
wearenomadah,promoter,1,1,0,False
Soulful City,promoter,7,2,0,False
yusuke morimoto,promoter,3,1,0,False
The Retrospective,promoter,8,5,0,False
GARDEN GROOVES,promoter,1,3,0,False
Sala Or,promoter,1,1,0,False
Introspection,promoter,7,4,0,False
Soufix,promoter,2,2,0,False
MUCHO TECH,promoter,5,3,0,False
Nugs On Board,promoter,1,4,0,False
Hot Chili,promoter,7,2,0,False
Ababol Party and Shows,promoter,1,2,0,False
Kovak Collective,promoter,1,2,0,False
Bumbum,promoter,2,1,0,False
HATEDCLVB,promoter,1,3,0,False
UFObyskyfall,promoter,5,7,0,False
KARMA21,promoter,2,4,0,False
Lumina,promoter,2,4,0,False
DANCEFLOOR,promoter,2,5,0,False
MXED Event Design,promoter,2,5,0,False
GrooveJackers,promoter,2,5,0,False
MARTHAROSE,promoter,1,1,0,False
Lethal Events,promoter,1,1,0,False
Placeo,promoter,1,2,0,False
Cabina Agency,promoter,1,1,0,False
NUUP,promoter,3,5,0,False
Hakkebcn,promoter,1,4,0,False
Hakke BCN,promoter,2,7,0,False
Perro Pako Bar,promoter,2,1,0,False
Restaurante Talos Canyet,promoter,2,1,0,False
Dulce Villarrica,promoter,2,1,0,False
Oroko Radio,promoter,1,4,0,False
Yallah Oriental Vibes,promoter,1,2,0,False
Will Grant,promoter,2,1,0,False
Olivia,promoter,2,3,0,False
Elektr-Âme,promoter,1,4,0,False
Kosmozoo Barcelona,promoter,1,1,0,False
Born Districte Gastronòmic,promoter,3,1,0,False
AMARS,promoter,1,1,0,False
Synk,promoter,1,1,0,False
Le Petit Brunch,promoter,1,1,0,False
Silicona,promoter,2,7,0,False
darkfrequency,promoter,4,4,0,False
GOLDEN GROOVE,promoter,1,3,0,False
Tiffaniemusyckrave,promoter,1,1,0,False
JIRAFA GRIS,promoter,1,2,0,False
98.3,promoter,1,6,0,False
The Lion and Lamb,promoter,1,2,0,False
Mganz,promoter,7,10,0,False
Javi Sabatino,promoter,6,8,0,False
martyon,promoter,1,1,0,False
Clubbing City,promoter,2,3,0,False
Pa'volar,promoter,2,3,0,False
VanguardPremiere,promoter,2,1,0,False
Sottobosco.,promoter,1,1,0,False
USE Recordings,promoter,4,4,0,False
santyyyyyyyya,promoter,3,2,0,False
FRERES COL,promoter,2,5,0,False
vikki,promoter,1,4,0,False
Lucasbarreda,promoter,3,10,0,False
His&Hers,promoter,6,1,0,False
Hey Rocker!!! Productions ,promoter,2,1,0,False
Dance To The Underground,promoter,2,1,0,False
Barcelona Nautic Bar,promoter,1,1,0,False
Mariano Cima ,promoter,1,4,0,False
Pryma,promoter,1,2,0,False
Amy Madness,promoter,1,1,0,False
Behind ,promoter,3,9,0,False
MUCHO electrònic,promoter,2,2,0,False
DnBabes,promoter,3,1,0,False
Pemsa Leisure ,promoter,2,6,0,False
Cat Friendly Music (Barcelona),promoter,1,1,0,False
Nation of Locals,promoter,1,5,0,False
Dj Grounchoo,promoter,2,6,0,False
DJ Marchello,promoter,2,2,0,False
Reza Momadi,promoter,9,2,0,False
jorgi,promoter,1,1,0,False
oswaldo berri,promoter,1,1,0,False
derschein label,promoter,2,2,0,False
The Dutch Night BCN,promoter,1,2,0,False
ELSUNDANCE,promoter,1,2,0,False
More Amor X Favor,promoter,2,4,0,False
Cris Lagos,promoter,2,3,0,False
D TTU,promoter,1,1,0,False
Sirocco,promoter,2,2,0,False
KINKY GALORE,promoter,2,2,0,False
welovebcn,promoter,2,3,0,False
Girls on Decks,promoter,1,2,0,False
Overdose Music,promoter,1,2,0,False
after society,promoter,2,2,0,False
Allegory Of Beats,promoter,1,5,0,False
Copacabana Aribau,promoter,1,1,0,False
GINNHOUSE,promoter,2,1,0,False
this is a prøject.,promoter,2,3,0,False
Roomors Event Lab RRPP,promoter,2,1,0,False
DARK PARTIES,promoter,1,2,0,False
Amaphonic,promoter,1,1,0,False
T-MusicGroup,promoter,1,3,0,False
Zoxta,promoter,9,3,0,False
Spellbound Sessions,promoter,1,1,0,False
RUIDO JONDO,promoter,1,2,0,False
LOOPAINA RECORDS SL,promoter,1,1,0,False
Vinya Group,promoter,1,4,0,False
Rene Fiser,promoter,1,5,0,False
Music Mansion,promoter,1,5,0,False
4TC The Club,promoter,9,1,0,False
Andrés Felipe Santana Sánchez ,promoter,2,4,0,False
Raw&Sweat,promoter,3,4,0,False
The Secrets,promoter,2,1,0,False
High Feelings,promoter,2,2,0,False
The Protocol,promoter,9,1,0,False
Drifting Echoes,promoter,1,2,0,False
Point of View,promoter,3,6,0,False
ENIXHA,promoter,3,2,0,False
Get Physical Music,promoter,1,1,0,False
Tempo Nomads,promoter,1,1,0,False
Matteo Bigliardi,promoter,1,2,0,False
Restless Company,promoter,4,11,0,False
LeMirage,promoter,1,1,0,False
VERMOOD,promoter,2,5,0,False
DUSKGROOVE,promoter,4,7,0,False
Caffeine Social Club,promoter,1,1,0,False
MAD PARTIES,promoter,2,4,0,False
Karonte,promoter,2,2,0,False
Drifting_Echoes,promoter,1,2,0,False
EchoSystems,promoter,1,4,0,False
Simian,promoter,2,2,0,False
Ticket Normal ,promoter,1,3,0,False
Techies,promoter,2,1,0,False
Not Only Studios,promoter,2,3,0,False
IN KLASS COLLECTIVE,promoter,1,1,0,False
MOS CADAQUÉS,promoter,1,2,0,False
Bruno Juárez,promoter,1,1,0,False
Luca Carlo,promoter,1,5,0,False
IMPURE,promoter,4,3,0,False
Neon Frequency,promoter,1,1,0,False
alienonlyhardbcn,promoter,4,4,0,False
Imaginary Friends,promoter,1,1,0,False
MOTOR OIL ,promoter,10,2,0,False
B-Plastic,promoter,2,4,0,False
IDEAS,promoter,1,3,0,False
ZIJ festival,promoter,1,1,0,False
SPICY,promoter,1,2,0,False
Smoothie Joints,promoter,1,3,0,False
Dutch Night BCN,promoter,1,2,0,False
Bucle Collective,promoter,1,1,0,False
RAW,promoter,1,3,0,False
Michele La Fiandra,promoter,1,1,0,False
Terapia Mediterránea,promoter,1,1,0,False
Oriol Temprado,promoter,1,2,0,False
AETHER,promoter,1,4,0,False
Bcn Electro Colective,promoter,1,1,0,False
Sonus Experience,promoter,1,2,0,False
Deep Secrets,promoter,1,1,0,False
MattNS,promoter,1,2,0,False
Le Mirage elona,promoter,1,2,0,False
Groove Parade,promoter,3,3,0,False
FUNKEY.BCN,promoter,2,2,0,False
Plasma | Mixes & Talks,promoter,1,3,0,False
Richi Kamara,promoter,1,2,0,False
The Jabba,promoter,3,8,0,False
Happy Tickets,promoter,2,1,0,False
Analog Jam Sessions,promoter,2,1,0,False
Tales of Dakno,promoter,1,3,0,False
Higher,promoter,1,5,0,False
ORGANIC COMMUNITY,promoter,1,4,0,False
HOFT Barcelona,promoter,2,5,0,False
Hold'Em,promoter,2,7,0,False
Unlisted,promoter,1,4,0,False
Phonodisco Club,promoter,3,1,0,False
STIL. SOUND,promoter,1,3,0,False
Lowpress®,promoter,1,2,0,False
Others To The Front,promoter,2,4,0,False
Shambala BCN,promoter,1,3,0,False
NOMAD MEDIA,promoter,1,1,0,False
Trencadisc,promoter,2,4,0,False
caliu,promoter,1,3,0,False
6SIX7,promoter,1,7,0,False
what you do with what you have,promoter,1,4,0,False
MA House,promoter,2,1,0,False
RAVAGE,promoter,1,1,0,False
Kukul Records,promoter,8,2,0,False
Angel Lobo,promoter,8,2,0,False
Kukul,promoter,8,2,0,False
Akasha,promoter,1,2,0,False
DRIFTING__ECHOES,promoter,2,6,0,False
Inpulse,promoter,1,2,0,False
Bobare Records,promoter,2,3,0,False
Violeta Reynal,promoter,1,1,0,False
Aura Experience,promoter,1,4,0,False
The Garden Grooves,promoter,1,4,0,False
NUDETOPIA by Maty Chevrière,promoter,1,1,0,False
La Tomatera Records,promoter,2,2,0,False
Beat & Bite,promoter,2,2,0,False
Comparsa Records,promoter,2,2,0,False
LOAD BCN,promoter,1,2,0,False
Nalgótika by Pink Id,promoter,1,1,0,False
VOLTAGE EVENTS,promoter,1,3,0,False
The Planet Amsterdam,promoter,1,3,0,False
ReConexión,promoter,1,2,0,False
Ninshū,promoter,1,1,0,False
FFE Producciones,promoter,1,3,0,False
Cuates Y Techno,promoter,1,2,0,False
SUNSEABAR BEACH CLUB,promoter,1,4,0,False
